id,datum,system,jahr,wochentag,ziehungszahlen,sonderzahlen,erstellt_am
86d216a2-8e7f-4a25-a514-606d9483d01a,2025-07-25,euromillions,2025,Friday,"[6, 7, 23, 32, 36]","[11, 12]",2025-07-26 02:45:01.583867
78d3d13f-67ff-4e29-b74a-0cf9ffb8c6eb,2025-07-29,euromillions,2025,Tuesday,"[5, 6, 42, 44, 46]","[4, 8]",2025-07-30 02:45:03.142500
1ecae132-f7f7-4fa8-b313-2d7a0d72147a,2025-08-01,euromillions,2025,Friday,"[4, 16, 25, 29, 30]","[2, 10]",2025-08-02 02:45:02.995051
6901aa12-51d5-4a0b-8eb5-5f348ab3cb8a,2025-08-05,euromillions,2025,Tuesday,"[1, 3, 5, 42, 47]","[5, 10]",2025-08-06 02:45:01.674974
678b62b5-fa43-4ea2-90ba-31b219556209,2025-08-08,euromillions,2025,Friday,"[2, 12, 19, 34, 44]","[6, 10]",2025-08-09 02:45:01.883778
4f6296b6-b1bf-49b9-9692-eab1a6a4f04a,2025-08-12,euromillions,2025,Tuesday,"[18, 28, 42, 46, 48]","[3, 9]",2025-08-13 02:45:03.570225
9e83510a-97a7-4958-a32d-967f83dd8155,2025-08-15,euromillions,2025,Friday,"[13, 30, 35, 36, 40]","[2, 6]",2025-08-16 02:45:03.008765
e9b29714-c9a1-4921-991d-65ea5576bf63,2025-08-19,euromillions,2025,Tuesday,"[24, 31, 34, 41, 43]","[6, 8]",2025-08-20 02:45:03.027610
ab0d58d6-3761-4991-bb95-aed45b2b4dfc,2025-08-22,euromillions,2025,Friday,"[6, 9, 12, 30, 39]","[4, 10]",2025-08-23 02:45:02.692213
